Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon
89,19/09/20,leopard,almora,almora,Uttarakhand,7yr,Dead,When she was playing near her home,https://www.hindustantimes.com/dehradun/teenager-killed-by-leopard-in-nainital-2nd-fatality-in-same-area-in-24-hours/story-NIODmUfEGf2S9rlBReFJmO.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5-11-20,leopard,anegundi,koppal,Karnataka,24yr,Dead,He was atacked on his way back home,"Leopard attacks and kills 24-year-old temple cook in Karnataka, search on for big cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,16/10/20,leopard,anegundi,koppal,Karnataka,65yr,injured,She was attacked by leopard during her tour,"Leopard attacks and kills 24-year-old temple cook in Karnataka, search on for big cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,27/07/20,leopard,talala,Gir Somnath,Gujarat,64yr,Dead,The man was attacked and killed,Gir Somnath: Retired teacher found dead after leopard attack in Talala | India News - The Indian Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,15/04/20,leopard,khizrabad,yamunanagar,Haryana,50yr,injured,He got injured while working on field,Yamunanagar: Farm labourer injured in leopard attack after he tried to bury dog hunted by predator | Gurgaon News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,25/04/20,leopard,junagadh,junagadh,Gujarat,55yr,Dead,He was attacked while he was asleep near temple,Gujarat: Leopard mauls man to death in Junagadh forest | India News  India TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,3-1-20,leopard,bharan,bharuch,Gujarat,5yr,Dead,The leopard caught the boy by throat and dragged him to sugarcane field,Gujarat: 5-yr-old boy dies in leopard attack in Bharuch | City-others News - The Indian Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1-1-20,leopard,surat,surat,Gujarat,4yr,Dead,She was killed in the attack,Gujarat: 5-yr-old boy dies in leopard attack in Bharuch | City-others News - The Indian Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,5-1-20,leopard,vadgoan patole,pune,Maharastra,18yr,injured,When he was on his way to meet his father in farm,Youth injured in leopard attack in Khed taluka | Pune News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,17/10/20,leopard,paur,pithoragarh,Uttarakhand,8yr,injured,The boy was walking in his compound when the leopard attacked him,8-year-old boy injured in leopard attack in Uttarakhand - The Siasat Daily  Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,31/01/20,leopard,galnimb,ahmednagar,Maharastra,3yr,Dead,The girl was playing in her courtyard when a leopard pounced and dragged her away,Maharashtra: 3-year-old girl dies in leopard attack in Ahmednagar district | Pune News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,28/11/20,leopard,dinde hamlet,beed,Maharastra,35yr,injured,When she and her son was working in a field,Beed: Mother & son survive leopard attack | Aurangabad News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,28/11/20,leopard,dinde hamlet,beed,Maharastra,15yr,injured,When he and his mother was working in a field,Beed: Mother & son survive leopard attack | Aurangabad News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,6-10-25,Elephant,Santhanpara panchayat,idukki,Kerala,62yr,Dead,The incident occurred around 10 a.m. while he was working in a cardamom plantation at Choondal.,Farmer killed in wild elephant attack in Idukki - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,6-10-25,Elephant,sukuda,sundargarh,Odisha,56yr,Dead,He was attacked by the herd of elephants while he was answering nature's call in a feild near him home,Rogue Elephants Trample Farmer To Death In Sundargarh | Odisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6-10-25,Elephant,manchakandi,palakkad,Kerala,45yr,Dead,While he was on his way back home on his bike,Wild elephant tramples man to death in Attapadi | Kerala News | Onmanorama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,25/09/25,Elephant,Maruthamalai,coimbatore,Tamil nadu,55yr,Dead,He was attacked by a wild elephant that entered the farm,Man succumbs to injuries after elephant attack near Coimbatore - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,06-09-25,Elephant,pillappara,athirappilly,Kerala,45yr,injured,He was trampled by a raging elephant,Forest watcher injured in wild elephant attack near Athirappilly - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,30/09/25,Elephant,pandallur,mallapuram,Kerala,48yr,Dead,He and his wife were returing from markert when the wild tusker attacked him,"Wild elephant attacks autorickshaw in Pandallur, plantation worker dies | Kerala News | Onmanorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,22/09/25,Elephant,telakaipur,keonjhar,Odisha,23yr,Dead,He went along other villager to protect the fields from elephant when an elephant suddenly attacked him,Youth dies in elephant attack | Bhubaneswar News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,24/07/25,Elephant,viraliyur,coimbatore,Tamil nadu,51yr,injured,when  the woman went to an area close to the boundary of Boluvampatti block III reserve forest ,Woman injured in elephant attack near Coimbatore - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,26/08/25,Elephant,madhahalli,mysuru,Karnataka,54yr,Dead,He was attacked while he was on his duty,Guard killed in wild elephant attack at Thalavadi - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,06-04-25,Elephant, kairamkode,palakkad,Kerala,22yr,Dead,The elephant attacked him while he was on his way back home,Kerala: 22-year old youth dies in wild elephant attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,13/02/25,Elephant,madikeri,kodagu,Karnataka,70yr,Dead,She was trampled to death,Karnataka Elephant Attacks: Three Fatalities Raise Alarm Over Human-Elephant Conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,13/02/25,Elephant,bandipur,mysuru,Karnataka,24yr,Dead,He died in bandipur tiger reserve,Karnataka Elephant Attacks: Three Fatalities Raise Alarm Over Human-Elephant Conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,13/02/25,Elephant,belur,hassan,Karnataka,--,Dead,She was found dead from elephant attack,Karnataka Elephant Attacks: Three Fatalities Raise Alarm Over Human-Elephant Conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,21/08/25,Elephant,kambikkayam,malapuram,Kerala,68yr,Dead,She was attacked by a elephant which is believed to be apart of herd,"68-Year-Old Woman Trampled To Death By Wild Elephant In Malappuram, Protests Erupt Over Forest Departments Failure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,06-10-25,Elephant,chinnakanal,idukki,Kerala,50yr,Dead,He was attacked bu a wild elephant in a cardomom field,Plantation worker killed in wild elephant attack in Chinnakkanal - KERALA - GENERAL | Kerala Kaumudi Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,11-09-25,Elephant,D B kuppe range,mysuru,Karnataka,45yr,Dead,He was on patrol when he was attacked,Karnataka: Forest department daily wager killed in wild elephant attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,22/09/25,Elephant,tanera,korba,Chhattisgarh,45yr,Dead,The elephant got hold of him by his trunk and stamped him to death,45-Year-Old Man Killed In Elephant Attack In Chhattisgarh's Korba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,25/09/25,Elephant,bommanampalayam,coimbatore,Tamil nadu,55yr,Dead,He was fatally attacked by a wild elephant while en route to his farm after picking up his two children from tuition.,Farmer killed in elephant attack in Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,14/08/25,Elephant,banshbari line,jalpaiguri,West bengal,60yr,Dead,When she stepped outside her house to answer nature's call,Elephant attack | Two die in elephant attacks in Jalpaiguri - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,14/08/25,Elephant,chanadipa,jalpaiguri,West bengal,50yr,Dead,When he came out of hi house the animal stamped him to death,Elephant attack | Two die in elephant attacks in Jalpaiguri - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,06-09-25,Elephant,mannundi,wayanad,Kerala,37yr,injured,When he was trying to chase away the elephant which was in his house premises,Elephant attacks tribal man in Kerala's Wayanad | India News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,26/09/25,Elephant,banmandanga,jalpaiguri,West bengal,32yr,Dead,When he stepped out to run and errad the tusker attacked him,Elephant attack | Tragic meet: 32-year-old youth's life ends after wild tusker attacks him at Jalpaiguri - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,11-07-25,Elephant,kendudihi,sundargarh,Odisha,45yr,injured,He was attacked by a wild elephant while collecting sal leaves for raj festival,https://timesofindia.indiatimes.com/city/bhubaneswar/4-killed-by-elephants-in-separate-attacks-in-keonjhar/articleshow/121854473.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11-07-25,Elephant,kendudihi,sundargarh,Odisha,40yr,Dead,She was attacked by a wild elephant while collecting sal leaves for raj festival,4 killed by elephants in separate attacks in Keonjhar | Bhubaneswar News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,06-08-25,Elephant,chembu,kodagu,Karnataka,72yr,Dead,He was killed outside his house,Farmer killed in wild elephant attack near Madikeri | Mysuru News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,31/05/25,Elephant,kunjanaga,jalpaiguri,Odisha,68yr,Dead,"A herd of about 20 elephants entered Kunjanagar village from the forest, and a wild tusker separated and attacked the family.",Baby among 3 of family killed in elephant attack | Kolkata News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,31/05/25,Elephant,kunjanaga,jalpaiguri,Odisha,35yr,Dead,"A herd of about 20 elephants entered Kunjanagar village from the forest, and a wild tusker separated and attacked the family.",Baby among 3 of family killed in elephant attack | Kolkata News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,31/05/25,Elephant,kunjanaga,jalpaiguri,Odisha,1month,Dead,"A herd of about 20 elephants entered Kunjanagar village from the forest, and a wild tusker separated and attacked the family.",Baby among 3 of family killed in elephant attack | Kolkata News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,15/06/25,Elephant,jatlapur,chandrapur,Maharastra,60yr,Dead,The victim was attacked by elephant in a forest,Elephant kills elderly farmer in Sindewahi | Nagpur News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,07-10-25,Elephant,dhab,manendragarh-chirmiri-bharatpur,Chhattisgarh,28yr,Dead,The elephant attacked her hut and while trying to escape she was trampled,Mother dies saving daughters from rampaging elephant in Chhattisgarh | Raipur News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,30/07/25,Elephant,bevra,manendragarh-chirmiri-bharatpur,Chhattisgarh,60yr,Dead,He was attacked on his way back home from field,4 people killed in elephant attacks in Chhattisgarh; 3 held after jumbo dies of electrocution - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,30/07/25,Elephant,bevra,manendragarh-chirmiri-bharatpur,Chhattisgarh,35yr,Dead,She was attacked on his way back home from field,4 people killed in elephant attacks in Chhattisgarh; 3 held after jumbo dies of electrocution - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,31/07/25,Elephant,devgarh,manendragarh-chirmiri-bharatpur,Chhattisgarh,55yr,Dead,The man had gone to his paddy field when he encountered two elephants,4 people killed in elephant attacks in Chhattisgarh; 3 held after jumbo dies of electrocution - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,23/07/25,Elephant,bannur,chikmangalur,Karnataka,25yr,Dead,She encountered the elephant as she was on the way to the workers colony in the estate,Woman dies after being hit by elephant in Chikkamagaluru - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,04-05-25,Elephant,kushalnagar,kodagu,Karnataka,--,injured,He was in his van when the elephant atacked him,Elephant attacks van; driver injured | Mysuru News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,11-09-25,Elephant,kundheigola,deogarh,Odisha,60yr,Dead,He was attacked while visiting nearby forest,Elderly Man Killed in Elephant Attack in Deogarh - Pragativadi I Latest Odisha News in English I Breaking News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,08-04-25,Elephant,morle-puran,sindhudurg,Maharastra,70yr,Dead,When he went to collect cashewnuts,Farmer killed in elephant attack; locals blame forest dept for inaction | Hindustan Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,06-10-25,Elephant,attappadi,palakkad,Kerala,--,Dead,When he was returning home from work on his bike he was strampled by an elephant,Wild elephant kills motorist in Attappadi; locals launch roadside protest | Kerala Stories | Onmanorama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,28/07/25,Elephant,andavane jagara,chikmangalur,Karnataka,64yr,Dead,The farmer was strampled t death,"2 killed in 5 days after elephant attacks in Karnatakas Chikkamagaluru, protests erupt: Report | Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,31/08/25,Elephant,mavelikara,alappuzha,Kerala,53yr,Dead,He died after being attacked by a captive elephant.,"Kerala temple elephant attack claims mahout's life, another critically injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,31/08/25,Elephant,mavelikara,alappuzha,Kerala,40yr,injured,He was injured by a capative elephant,"Kerala temple elephant attack claims mahout's life, another critically injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,21/08/25,Elephant,edavanna,malapuram,Kerala,64yr,Dead,The elephant struck her and strampled her,Woman killed in elephant attack at Edavanna - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,08-06-25,Elephant,moolakkada,palakkad,Kerala,35yr,injured,The man was injured seriously when a tusker charged at him,Man injured in elephant attack at Attappady in Keralas Palakkad - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,13/02/25,Elephant,kuruvangad,kozhikode,Kerala,68yr,Dead,When two captive elephants went berserk during a temple festival and attacked people,Three killed in Kerala as two elephants run amok during temple festival at Koyilandy - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,13/02/25,Elephant,kuruvangad,kozhikode,Kerala,66yr,Dead,When two captive elephants went berserk during a temple festival and attacked people,Three killed in Kerala as two elephants run amok during temple festival at Koyilandy - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,13/02/25,Elephant,kuruvangad,kozhikode,Kerala,65yr,Dead,When two captive elephants went berserk during a temple festival and attacked people,Three killed in Kerala as two elephants run amok during temple festival at Koyilandy - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,13/06/25,Elephant,meenmutty,idukki,Kerala,42yr,Dead,The woman had gone to collect forest produce with her husband and children when they came under attack. ,Tribal woman killed in wild elephant attack in Idukki - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,06-04-25,Elephant,kayaramkode,palakkad,Kerala,24yr,Dead,When he was walking home from a shop,24-year-old man killed in Jumbo attack in Kerala's Palakkad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,06-04-25,Elephant,kayaramkode,palakkad,Kerala,46yr,injured,When she was on her way back home from a grocery store,24-year-old man killed in Jumbo attack in Kerala's Palakkad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,20/07/25,Sloth bear,"Nagarahole

",Mysuru                ,Karnataka,47yr,injured,"The incident occurred when the forest watcher was conducting his regular patroling duties.The watcher suffered severe injuries to his face and upper body duting the encounter with the bear,which gouged one of his eyes.",https://timesofindia.indiatimes.com/city/mysuru/bear-attack-on-watcher-leaves-nagarahole-staff-in-fear/articleshow/122799810.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,25/06/25,Sloth bear,Kanakumbi village,Belagavi,Karnataka,60yr,injured,the bear attacked him when he went to the edge of the forest to graze his cattle,https://www.thehindu.com/news/national/karnataka/farmer-injured-in-bear-attack-in-karnataka/article69735193.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,16/09/25,Sloth bear,Gurukulanagenahalli village,Chickballapur ,Karnataka,45yr,injured,They were attacked by a bear while working in an agricultural field on Tuesday morning.,https://www.thehindu.com/news/national/karnataka/two-farmers-injured-in-bear-attack-in-chickballapur-dist/article70057397.ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,09-10-23,Sloth bear,Ghosebadruka village,Belagavi,Karnataka,63yr,Dead,"The 63-year-old farmer, Bheekaji Mirashi, was attacked and killed by a bear while he was working in his farm.",https://timesofindia.indiatimes.com/city/hubballi/karnataka-bear-attacks-farmer-working-in-his-farm-drags-body-for-2km/articleshow/104279211.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,14/10/25,Elephant,ambikapur,surguja,Chhattisgarh,19yr,Dead,He was trampled to death while he was going towards school,Man-wild conflict continues to haunt CG: 19-yr-old dies in elephant attack | Raipur News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,13/10/25,Elephant,valparai,coimbatore,Tamil nadu,55yr,Dead,She and her granddaughter were killed in an elephant attack,"Woman, three-year-old granddaughter killed in elephant attack near Valparai - The Hindu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,13/10/25,Elephant,valparai,coimbatore,Tamil nadu,3yr,Dead,She was killed in the attack,"Woman, three-year-old granddaughter killed in elephant attack near Valparai - The Hindu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,09-09-25,Elephant,gudalur,nilgiris,Tamil nadu,38yr,Dead,He was attacked while he was on his way to work on his bike ,Man killed in elephant attack in Gudalur - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,02-08-25,Elephant,gobindpur,kendujhar,Odisha,58yr,Dead,The villagers were chasing elephants away when a female elephant suddenly turned and attacked him,Woman consumes poison after husband killed in elephant attack | Bhubaneswar News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,10-09-25,Elephant,chaurachura,nuapada,Odisha,68yr,Dead,When he had gone to farm with his cattel,Farmer killed in elephant attack in Gadchiroli | Nagpur News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,17/10/25,Elephant,mahulakholi,dhenkanal,Odisha,65yr,Dead,When she along with her family was walking back to her village,Elderly woman killed in elephant attack in Odishas Dhenkanal - Prameya News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,13/07/25,Elephant,thokar,dhenkanal,Odisha,80yr,Dead,He was attacked while returning home from his fields,Elephant Attack in Odisha 2025: Hindol Farmer Killed - Pragativadi I Latest Odisha News in English I Breaking News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,02-08-25,Elephant,tangishala ,dhenkanal,Odisha,--,Dead,The farmer was trampled to death by a wild elephant,Farmer trampled to death by elephant in Odishas Dhenkanal; fourth...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,15/12/24,Elephant,kantapali,sundargarh,Odisha,12yr,Dead,A  marauding wild tusker razed their house made of twigs and polythene the ground and trampled her,Two minor sisters among three killed in elephant attack in Odisha's Sundargarh district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,15/12/24,Elephant,kantapali,sundargarh,Odisha,3yr,Dead,A  marauding wild tusker razed their house made of twigs and polythene the ground and trampled her,Two minor sisters among three killed in elephant attack in Odisha's Sundargarh district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,11-12-24,Elephant,baghuabol ,angul,Odisha,48yr,Dead,An elephant herd was crossing the road when she was returning home. She stopped the two-wheeler to let the herd cross the road but she was unaware that one tusker was yet to cross it and that tusker attacked and killed her,2 Die In Elephant Attack In Odishas Angul District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,11-12-24,Elephant,boudabeda,angul,Odisha,60yr,Dead,He was killed by a tusker while he was going to a nearby market early in the morning,2 Die In Elephant Attack In Odishas Angul District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,26/09/25,Elephant,badasahi,angul,Odisha,55yr,Dead,He was attacked while he was collecting mushrooms in a forest near his village ,Odisha: 55-yr-old man killed in elephant attack in Angul - Prameya News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,24/07/25,Elephant,baghadharia,dhenkanal,Odisha,55yr,Dead,"She was plucking flowers near her home when she encountered the elephant, which fatally attacked her on the spot","Three Killed in Elephant Attack in Odisha, Forest Official Suspended - INDIA New England News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,24/07/25,Elephant,baghadharia,dhenkanal,Odisha,60yr,Dead,His wife was attackted by elephant near their home in the attempt to save her he was attacked as well,"Three Killed in Elephant Attack in Odisha, Forest Official Suspended - INDIA New England News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,04-02-25,Elephant,valparai,coimbatore,Tamil nadu,77yr,Dead,A  German tourist lost his life after being attacked by an elephant while travelling on his motorbike through Tiger Valley,77-year-old German tourist killed by charging elephant in Tamil Nadu's Coimbatore | Trending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,21/04/25,Elephant,bokkapuram,nilgiris,Tamil nadu,58yr,Dead,She was riding her two wheeler when elephant suddenly forcefully pushed her,Woman Killed In Wild Elephant Attack In Masinagudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,22/05/25,Elephant,valparai,coimbatore,Tamil nadu,77yr,Dead,The elephanth entered her kitchen midnight and in her attempt to escape to a neighbhouring house the animal attacked her,Tamil Nadu: Elderly woman dies in Valparai elephant attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,22/05/25,Elephant,valparai,coimbatore,Tamil nadu,75yr,injured,The elephanth entered her kitchen midnight and in her attempt to escape to a neighbhouring house the animal attacked her and injured her,Tamil Nadu: Elderly woman dies in Valparai elephant attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,22/07/25,Elephant,nelliyalam,nilgiris,Tamil nadu,70yr,Dead,She was washing utensils infront of her house when the elephant attacked and killed her,Woman trampled to death by wild elephant in Pandalur - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,24/07/25,Elephant,narasipuram,coimbatore,Tamil nadu,51yr,injured,"She had gone to attend nature's call near a thicket, when a wild elephant emerged and attacked her",Woman critically injured in elephant attack in Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,08-08-25,Elephant,kil kotagiri,nilgiris,Tamil nadu,33yr,Dead,He had purchased essential items for the house and was returning home when he was attacked and killed by a wild elephant.,Man killed by wild elephant in the Nilgiris - The Hindu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,23/01/25,Elephant,dhaliyur,coimbatore,Tamil nadu,69yr,Dead,He was attacked when he went for a walk in the morning near forest,"69-year-old dies in elephant attack Chinna Thadagam in Coimbatore, third this month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,22/10/25,Elephant,madarihat,alipurduar,West bengal,43yr,Dead,He was attacked while returning back home,Alipurduar elephant attack | Jumbo rampage kills trio as lone elephant tramples villagers in Alipurduar - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,22/10/25,Elephant,khayerbari,alipurduar,West bengal,35yr,Dead,She was attacked while returning home from Kali Puja celebrations,Alipurduar elephant attack | Jumbo rampage kills trio as lone elephant tramples villagers in Alipurduar - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
